step,bestK_pos_mm,bestK_ori_deg,mean_pos_mm,mean_ori_deg,pct_submm,pct_subdeg,diversity,distinct_modes
0,56.36288767713785,38.6373235896874,172.86892308526677,41.36962217902511,0.0,0.0,0.6165444623381797,0.0
1,25.228930889853075,22.073451804470835,110.51922227629703,36.91566785246634,0.29296875,7.8125,0.6411380684237472,0.004074979625101874
2,11.792653353803283,13.462387375009468,71.33117945539911,29.25999711781406,28.515625,54.19921875,0.6380674551786035,0.771801140994295
3,8.514978094628862,10.45632196542648,54.8522374113394,26.247898449071357,51.708984375,71.38671875,0.6363557257018532,2.91279543602282
4,7.243038167455602,9.246010791881304,45.88404227470791,24.438453368541943,60.986328125,77.001953125,0.6355723491733342,nan
5,6.537544070672481,8.271254455884431,40.496659609009576,23.462338000555654,66.650390625,79.833984375,0.6371830619800366,5.701711491442543
6,5.862599365489332,7.569206309033645,36.62512639772155,22.639802391399606,70.01953125,82.177734375,0.6385451016028232,nan
7,5.2244900091615065,6.7527671511029785,33.95551617944901,21.967529948018942,74.21875,84.765625,0.6415768326944448,nan
8,4.8117365571552595,6.174941729248091,32.28267223148357,21.40494744916446,77.34375,86.23046875,0.6424502255596537,nan
9,4.512434027136514,5.6504010362108605,31.032962408863522,21.00714110658788,79.248046875,86.962890625,0.6432742978520647,nan
10,4.4470660799666994,5.6576900405194195,30.044730685102458,20.70360160693709,80.46875,87.59765625,0.6445051042686579,7.405052974735126
11,4.304769295645687,5.395190409502963,29.26366332391168,20.42830203784849,81.640625,87.98828125,0.64494452711956,nan
12,4.2321570111255875,4.910196621885958,28.729623888199864,20.224529139641177,82.666015625,88.623046875,0.6449970169107285,nan
13,4.2424233906112185,5.114611501240328,28.29468507661496,20.10284101563889,83.447265625,88.818359375,0.6457290297249071,nan
14,4.1842086255925315,4.692107862488359,27.795128896625123,19.984502529000146,83.7890625,89.16015625,0.6450219697366687,nan
15,4.172235974798721,4.653592734781035,27.30147273592477,19.860914386267655,84.27734375,89.35546875,0.6460820580950698,8.096984515077425
16,4.0901962219166395,4.538434341913782,26.991272453872718,19.701745169173616,84.5703125,89.599609375,0.6469630048334067,nan
17,3.9645283785344847,4.360095595028297,26.78535407881596,19.540571483135878,85.009765625,89.6484375,0.6474307099541283,nan
18,3.8709651881881433,4.216738651920084,26.57913948822311,19.421039685251436,85.3515625,89.990234375,0.6475929046313844,nan
19,3.8296654447772984,4.053838109674773,26.516897820179576,19.31815486290966,85.83984375,90.087890625,0.6484156227360812,nan
20,3.845067828274057,4.048914065579342,26.403715015763687,19.239485987069568,86.083984375,90.13671875,0.6480694064781201,8.295028524857376
21,3.867736518853737,4.078852199234194,26.28630601151436,19.177386545917006,86.279296875,90.234375,0.6480108193653068,nan
22,3.888679040749698,4.095710792128589,26.158884675531674,19.088133514251048,86.376953125,90.234375,0.6475800379313766,nan
23,3.8785216059187166,4.119119975103073,26.03485441765817,19.02854175584937,86.572265625,90.234375,0.6481583133813541,nan
24,3.863063887509414,4.044801224633129,25.89048475687212,18.934471246062735,86.71875,90.33203125,0.64798258532718,nan
25,3.867840777512558,4.105816059152726,25.8366383505384,18.84166683750755,86.9140625,90.283203125,0.6475889753905856,8.449062754686226
26,3.8527142765512274,4.042549449557179,25.65334556751614,18.760851660533326,87.158203125,90.33203125,0.647793158755475,nan
27,3.861222580851176,4.04128175753874,25.498844329269737,18.680389322849216,87.40234375,90.33203125,0.6475922290071392,nan
28,3.8174958718943315,4.007380231354001,25.38496171120062,18.611018626049468,87.59765625,90.283203125,0.6474511761800256,nan
29,3.8053580734484838,3.964434425892764,25.360355298830584,18.573505766965773,87.646484375,90.283203125,0.6473225514052096,nan
30,3.788367522276904,3.909931193867528,25.256675628699746,18.542452585112006,87.744140625,90.380859375,0.6471185448545403,8.676446617766912
31,3.74870722832732,3.8877152266075314,25.239854355428584,18.554497633768804,88.0859375,90.478515625,0.6471106576001735,nan
32,3.757999518303926,3.888435842719427,25.22369493699147,18.514346611894588,88.18359375,90.52734375,0.6468019703790996,nan
33,3.7494816201874377,3.9358279101151163,25.161843646459474,18.497700200293856,88.232421875,90.52734375,0.6465553967054136,nan
34,3.7199456987266637,3.858330858619556,25.095603161793342,18.4709052496485,88.28125,90.52734375,0.6464388459484572,nan
35,3.7014340708858917,3.8587570332807433,25.07020548178224,18.447597979538664,88.720703125,90.576171875,0.6463114851439535,8.758761206193968
36,3.7007058703207103,3.9158192718051112,24.967256534492886,18.44220582840193,88.96484375,90.52734375,0.6462680325280339,nan
37,3.703494387167356,3.9387388661372036,24.92978631020318,18.427744455760337,89.013671875,90.52734375,0.6461802280625423,nan
38,3.6788624720179772,3.89628153139308,24.892414302874034,18.401167289079968,89.111328125,90.52734375,0.6466123967831573,nan
